ref;occurrences;top_sermons;resume_amorce
Matthieu 24:0;118;"SKN 63-0323; VGR 63-0323; SKN 62-0407; VGR 62-0318M; SKN 65-0725M";"Maintenant remarquez. Ce grand événement était scellé sous le Livre de mystère, de la rédemption. Maintenant, l’Agneau L’a dans Sa main, et Il va briser la chose. Maintenant regardons Matthieu, chapitre 24; c’est l’Agneau Lui-même qui parle. Or, Christ, tout le monde le sait, est l’auteur du Livre tout entier, bien entendu. Mais ici, c’est Son–Son discours, ou Son–Son sermon au–au peuple (Très bien), aux Juifs. Maintenant, je voudrais que vous teniez votre Livre comme ceci, Matthieu 24 et Apocalypse 6, comme ceci. [Frère Branham tient sa Bible ouverte à ces deux chapitres.–N.D.E.] Et comparons"
Actes 2:0;106;"SKN 63-0320; SKN 57-0925; SKN 58-0927; VGR 57-0925; VGR 58-0927";Aucun être humain, ni–ni rien d’autre au monde n’est capable de faire cela. Rien sur terre ne peut créer, en dehors de Dieu. Le diable ne peut pas créer. Il pervertit ce qui a été créé, mais il ne peut pas créer. Le péché, ce n’est que la justice pervertie. Comprenez-vous ce que je veux dire? Qu’est-ce qu’un mensonge? C’est la vérité mal présentée. Voyez? Qu’est-ce qu’un adultère? L’acte juste et légitime perverti. Tout ce qui est du péché... Le péché, c’est seulement un... La Vérité pervertie. Donc, il ne pouvait pas créer. Mais lorsque Christ est venu, Il a prouvé qu’Il était le Créateur. C’
Apocalypse 17:0;106;"SKN 60-1207; SKN 63-0320; SKN 62-1111E; VGR 63-0320; VGR 60-1207";Mais Constantin ne s'intéressait pas au christianisme. Ce qu'il voulait, c'était d'introduire ses ancêtres païens, son église païenne... Et l'église laodicéenne qui avait pris racine et... ou plutôt cette église nicolaïte qui avait pris racine et qui s'était établie à Rome avait fait une grande démonstration et beaucoup de gens étaient des croyants (des soi-disant), des formalistes... Mais la véritable Eglise, elle, était une minorité - elle l'est toujours et l'a toujours été, je vais juste attendre un instant pour laisser cela pénétrer très profondément. Vous voyez? Rappelez-vous que la vérit
Jean 1:0;105;"SKN 58-0612; SKN 64-0617; VGR 64-0617; SKN 58-0312; SKN 65-0801M";Les gens ne connaissaient point Elisée, sinon ils n’auraient pas envoyé ces petits enfants le chercher après qu’Elisée... « Vieux chauve, pourquoi n’es-tu pas monté? » Alors, Elisée s’est retourné et a maudit ces enfants. Deux ourses en tuèrent quarante-deux. Ils n’avaient pas reconnu Jean-Baptiste. Même ses disciples ne l’ont pas reconnu jusqu’à sa décapitation. Ils ont dit au... à Jésus : « Pourquoi les scribes disent-ils qu’Elie doit premièrement venir? » Jésus a dit : « Il est déjà venu, et vous ne l’avez pas reconnu. » Personne ne savait, presque personne, avant Sa mort, Son ensevelisseme
Jean 14:0;99;"SKN 64-0802; VGR 64-0802; SKN 59-1216; SKN 59-1217; VGR 59-1216";Maintenant, la façon dont je trouve mes messages, c’est toujours par la prière. Je suis en train de prier, et quelque chose m’est révélé. Et j’attends quelques minutes pour voir si c’est correct, alors, je le sens plus proche. Et alors, des fois, je continue d’attendre jusqu’à ce que ça se transforme en une vision. Mais quand ça commence à venir, et que je suis convaincu que ça vient de Dieu, alors je prends l’Ecriture. Vous voyez, c’est... ça devrait être la confirmation de toute chose spirituelle qui est faite, car la Bible est la révélation complète de Jésus-Christ, voyez, Elle est Son Corp
Jean 5:0;96;"SKN 56-0419; SKN 56-0225; SKN 55-1113; SKN 53-0531; VGR 59-0628E";Remarquez donc, vous dites que c’était là Jésus hier. Si c’était là Jésus hier, qui pouvait comprendre les pensées des coeurs de gens, et que Dieu est toujours Lui, cela s’accomplira, ça doit être Jésus aujourd’hui, sinon Il n’est pas ressuscité d’entre les morts. Il n’est pas le même, votre foi est vaine. Il est un homme mort. Si une femme a touché Son vêtement, et qu’Il a senti que la vertu était sortie de Lui, et s’Il n’agit pas de même aujourd’hui, c’est qu’Il n’est donc pas le même. Eh bien, vous dites: «Prédicateur, Il était...» C’est vrai. La Bible déclare: «Il est le Souverain Sacrific
Matthieu 28:19;89;"SKN 57-0925; VGR 57-0925; SKN 61-0425B; VGR 61-0425B; SKN 54-0515";Je pense que chacun comprend cela. Si c'est le cas, levez la main. Ce - c'est le dessin éternel du Dieu Tout-Puissant, cela est certainement bien au-delà - bien au delà de ce que l'homme pourrait faire. Maintenant : Question n° 56 : Je ne comprends pas l'enseignement sur le baptême d'eau dans Matthieu chapitre 28, verset 19. Qu'est-ce que ça veut dire? Bien, maintenant peut-être que cela ne me prendra qu'une minute. Et si quelqu'un veut bien ouvrir avec moi, Matthieu chapitre 28, verset 19. Et nous verrons ce que cette personne est...25... Maintenant, ceci vous édifiera si vous voulez bien vou
Apocalypse 10:0;87;"SKN 64-0719M; SKN 65-0718M; SKN 64-0614M; VGR 63-0320; VGR 64-0719M";"Il y a d'honnêtes et sincères personnes qui sont catholiques, protestantes, juives, et quoi encore. Ce sont des humains qui - qui... Les religieuses n'entrent pas au couvent pour être de mauvaises femmes; elles y entrent pour être de bonnes femmes. Elles cherchent à se rapprocher de Dieu, mais c'est le système qui les corrompt. Les gens adhèrent à l'église, non pas pour être quelqu'un de méchant, mais pour être quelqu'un de bien. Mais c'est le système de l'église qui les écarte de la Parole et des principes que Dieu a posés pour ce jour-ci; et c'est cela qui les éloigne du chemin. Eh bien, rap"
Galates 1:8;82;"SKN 65-1212; VGR 65-1212; SKN 59-0823; SKN 59-1216; SKN 61-0217";"Paul a dit:«J'ai reçu du Seigneur ce que je vous ai aussi enseigné; C'est que le Seigneur Jésus, la même nuit où Il fut livré, prit du pain, le rompit et le donna à Ses disciples et - et dit : 'Prenez et mangez, faites ceci en mémoire de Moi.' Car toutes les fois que vous mangez ce pain, vous annoncez Sa mort jusqu'à ce qu'Il vienne.» Maintenant, nous découvrons qu'à ce sujet, il y avait des gens qui venaient et... Ce précieux frère, un très cher frère, vint et dit : jamais je - jamais je n'ai pris cela, Frère Branham, je ne comprends pas ce que c'est.» Il ajouta : «J'ai été enseigné différemm"
Hebreux 4:0;76;"SKN 62-0311; SKN 64-0312; VGR 62-0311; SKN 59-1216; SKN 61-0217";"La grande heure de l’assaut est proche. Alléluia! Soldat, avec votre armure qui reluit, vos couleurs qui flottent au vent... La foi et le doute sont rangés en ordre de bataille, dans ce tabernacle, ce matin; le doute d’un côté, la foi de l’autre. Soldats, tenez-vous à votre poste de devoir. Alléluia! Notre Capitaine, l’Etoile du Matin, marche en tête. Il ne recule jamais. Jamais Il ne... Il ne connaît pas le mot retraite. Il n’a pas à battre en retraite. Amen! Certainement. La plus grande bataille jamais livrée, elle se déroule ici même en ce moment (oui, oui), entre la vie et la mort, entre l"
Matthieu 24:24;73;"SKN 65-0725M; VGR 65-0725M; SKN 64-1212; SKN 65-0118; VGR 65-0118";Mais, vous voyez, Il fait pleuvoir, pour revenir à notre sujet, sur les justes et sur les injustes. Jésus vous dit donc ici, dans Matthieu 24, que ce serait un signe au temps de la fin. Or, si ce signe ne doit être connu qu'au temps de la fin, alors il faudra que ce soit après l'ouverture de ces Sceaux. Voyez? C'est un signe de la fin. C'est que quand ces choses arriveront, ce sera le temps de la fin. Et ce sera donc un signe pour que les élus ne soient pas dans la confusion face à ces choses. Vous comprenez cela? Alors, il faut que ce soit révélé, dévoilé. Remarquez, les deux, le blé et la ma
Jean 3:16;69;"SKN 57-0126E; SKN 63-1222; SKN 63-0123; VGR 63-0123; SKN 57-0519E";Et maintenant Père, puisse le Saint-Esprit prendre la Parole, ouvrir le Livre, et libérer la puissance de l’Esprit afin qu’elle entre dans la Parole, et que Celle-ci trouve Son lieu de repos dans chaque cœur. Car nous le demandons au Nom de Ton Enfant bien-aimé, le Seigneur Jésus. Amen. Ce soir, j’ai choisi juste pour un petit moment… parce qu’il y a très peu de gens pour qui on doit prier ce soir. Et ce soir, j’aimerais que vous tous, vous puissiez prier avec moi dans la ligne de prière. Mais ne pensons pas à la ligne de prière en ce moment, mais tournons nos pensées sur quelque chose de plus
Esaie 9:6;69;"SKN 61-0117; SKN 63-1127; VGR 62-0318M; SKN 65-1206; VGR 65-1206";Maintenant, nous Te demandons de bénir cette église, de continuer à la bénir. Nous voulons Te remercier pour ce que Tu fais pour ce corps local de croyants qui est ici, ces gens saints et pieux qui craignent Ton Nom, Seigneur, et qui Te croient, et qui croient que Tu viendras nous prendre un de ces jours. Que nous soyons endormis dans la poussière, ça ne sera pas un empêchement, car la trompette de Dieu sonnera, et les morts en Christ ressusciteront premièrement. Nous nous en irons de toute façon. La mort ne peut pas nous arrêter. Rien ne peut nous empêcher de Le rencontrer. O Dieu, nous somme
Luc 17:30;66;"SKN 65-1125; VGR 65-1125; SKN 65-1127E; VGR 65-1127E; SKN 65-0725E";Paul écrivit le Nouveau Testament. C'est vrai. Il écrivit les Romains et... les Romains et les autres épîtres en passant par Hébreux et Timothée, et ainsi de suite. Et, pour cela, il dut s'isoler et se rendre en Arabie dans un désert pendant trois ans et recevoir la révélation de Dieu. «Oh,» dites-vous : ... «qu'en est-il de Matthieu, Marc, Luc, Jean?» C'étaient des scribes qui rapportèrent simplement les actions de Jésus, tandis que Paul s'isola pour rassembler la Parole. C'est vrai. Ainsi, voyez, s'il a fallu qu'ils aillent au désert, loin de leurs bien-aimés... Souvenez-vous de «Monsieur, q
Jean 6:0;64;"SKN 58-0612; SKN 59-0422; SKN 61-0118; SKN 59-1223; SKN 59-1219";"Eh bien, il y avait trois catégories de gens; c’étaient les Juifs, les Gentils et les Samaritains. Il Lui était interdit d’aller vers les Gentils. Pas une seule fois, jamais, Il n’a accompli cela devant un Gentil. Pourquoi? À l’époque, nous étions des païens. Nous adorions des idoles, nous les Anglo-Saxons. Remarquez, maintenant écoutez donc attentivement, pour que vous ne manquiez pas cela. Ceci est AINSI DIT LE SEIGNEUR. Jésus, au cours de Son voyage, il fallait qu’Il passât par la Samarie. Et Il s’est assis au puits, c’était un petit panorama, pareil à celui-ci, et il y avait des vignes qui"
Genese 1:0;63;"SKN 65-1031M; VGR 65-1031M; SKN 64-0614M; VGR 62-0318M; SKN 65-0911";C'est de cette manière que vous commencez, comme ce chariot. Vous pourriez poser le cadre et dire : «Que faites-vous?» Comme vous, quand vous avez enlevé les premières roches de ce coin, ici. «Que faites-vous?» Voyez, cela ne ressemblait pas à ce que cela serait maintenant. Cela ressemblait à un petit Eden, parce que vous aviez à l'esprit ce qu'il fallait faire, et vous avez continué à travailler. Maintenant, nous voulons être transformés nous-mêmes par le renouvellement de notre entendement. Voyez-vous, non pas ce que nous avons sur cette terre, ce que nous allons chercher sur cette terre, ma
Hebreux 11:0;60;"SKN 62-1014M; SKN 62-0401; SKN 60-1204M; VGR 60-1204M; VGR 62-1014M";"Remarquez: Vous devez naître de nouveau. Et quand vous naissez de nouveau... vous ne pouvez pas naître de nouveau sans avoir la foi. C’est vrai. Donc, vous voyez, sur mon croquis ici, j’ai le fondement même. La foi est le fondement de tout cela. «Car, sans la foi, il est impossible d’être agréable à Dieu; car celui qui vient à Dieu doit croire que Dieu existe, et qu’Il est le Rémunérateur de ceux qui Le recherchent.» Voyez? Il doit l’être. Et quand vous êtes un sceptique de la Bible, quand vous êtes sceptique de la véracité de la Parole, vous feriez tout aussi bien de rester en arrière, jusqu’"
Apocalypse 3:0;58;"SKN 64-0705; SKN 61-1112; VGR 61-1112; SKN 60-1210; SKN 65-1206";Maintenant, souvenez-vous, Il n’a été expulsé d’aucune autre Eglise, dans la Bible, au long des Sept Âges de l’Eglise. Combien s’en souviennent? Il a traversé chaque Age de l’Eglise, pour continuer, produire autre chose. Mais, avec ceci, ça Y est. Il n’y a plus rien d’autre. Mais, le–le Sculpteur est arrivé de nouveau à la perfection, la Parole. Voyez? Ne retournez pas en arrière. C’est Quelque Chose de tellement différent. Oui. Oh! Et remarquez, alors, la balle, quand elle apparaît, son aspect est tout à fait semblable à celui du Grain. Mais quand la Vie du Grain commence à sortir de la balle
Luc 24:49;57;"SKN 62-1013; VGR 60-0911E; SKN 63-0803B; VGR 63-0803B; SKN 63-0324M";"Il répondit: «S’Il est un pécheur ou nom, je ne sais; mais je sais une chose, c’est que j’étais aveugle et que maintenant je vois.» Que fit-il? Il passa à l’action. C’est ce dont l’Eglise a besoin. Passez à l’action. Nous avons trop de formes; nous avons trop de dignité mondaine; nous avons besoin de passer à l’action. Amen! Il répandit Sa renommée dans toute la région. Les gens, à la Pentecôte, avaient peu de connaissance. Certains ne pouvaient même pas signer de leur propre nom. Ils étaient dans la peur. Ils allèrent dans la chambre haute. Mais un jour, que firent-ils? Ils allèrent là pour o"
Apocalypse 11:0;56;"SKN 57-1006; SKN 57-1002; SKN 54-0103M; SKN 57-0925; SKN 64-0830M";"Ainsi, à ce niveau, si nous prenons le lexique et que nous le consultions, vous trouverez que cela commence par ""les messagers, les premiers messagers"". Voyez? ""Si le - s'Il n'a pas épargné... Car, si Dieu n'a pas épargné les anges qui avaient péché (voyez?), et les êtres surnaturels (voyez?), après l'attente..."" Maintenant observez, il a dit : ... si... n'a pas épargné les anges qui avaient péché, mais qu'Il les a précipités dans les abîmes et les a livrés dans les chaînes des ténèbres, pour être préservés pour le jugement; Ensuite, regardez dans I Pierre, encore une fois ici, 3:19; faites at"
Jean 15:0;53;"SKN 58-0207; SKN 58-0214; SKN 58-0312; SKN 65-1127B; SKN 63-0825E";"Eh bien, le corps physique était une demeure de Dieu. Dieu était en Christ réconciliant le monde avec Lui-même. Et ce corps a été tué au Calvaire pour faire l’expiation. C’est là qu’Il a été blessé pour nos péchés; c’est par Ses meurtrissures que nous avons été guéris. Et Dieu a ressuscité ce corps le troisième jour, il vit de nouveau, et il est assis à Sa droite ce soir, dans la Gloire, intercédant sur base de notre, ou sur base de notre confession. Il est notre Souverain Sacrificateur. Il doit faire... intercéder pour nous lorsque nous confessons. Et tout ce qu’Il a fait par Son sacrifice to"
Apocalypse 13:0;51;"SKN 60-0911E; SKN 58-0927; VGR 58-0927; SKN 62-0422; SKN 63-0630M";Bien, je ne suis pas responsable d'avoir écrit Ceci, cependant je suis responsable si je n'enseigne pas Cela. Nous sommes présentement en train de parler de l'église. Maintenant, si vous remarquez bien au fur et à mesure que nous avançons... Et il me transporta en esprit dans un désert, et je vis une femme assise sur une bête écarlate,... Permettez-moi de prendre ces symboles au fur et à mesure que nous avançons. Maintenant, l'écarlate c'est le rouge. Dans un sens, le rouge est une bonne couleur. Dans un autre sens, le rouge est une couleur de mauvaise réputation, la lumière rouge, la couleur 
Genese 22:0;50;"SKN 64-0322; VGR 64-0322; SKN 61-0226; SKN 52-0224; SKN 55-0120";Il a dit: «J’ai entendu la Voix la plus douce que j’aie jamais entendue de ma vie.» Il a dit: «Lorsque je me suis retourné pour regarder, j’ai vu le plus doux visage que j’aie jamais vu, plus doux que le visage d’une mère, une Voix plus douce que celle avec laquelle ma mère ne m’avait jamais appelé.» Il a dit: «J’ai regardé tout autour. J’ai entendu une Voix, disant: ‘Père, c’est vrai, il a effectivement dit des mensonges et il n’a vraiment pas été honnête. Mais, là sur terre, il a pris position pour Moi, a dit la Voix. Maintenant, Je vais prendre position pour lui.» C’est ce que j’aimerais vo
Romains 8:1;45;"SKN 56-0723; SKN 57-0908M; SKN 57-1002; SKN 63-0901M; SKN 54-0516";Après avoir prêché pendant bien des années, l’heure de sa mort sonna. Il était couché malade, à l’article de la mort, et beaucoup de ses amis blancs sont venus le voir. Ainsi, il les regardait, et il était couché là comme dans un coma. Au bout d’un moment, il s’est réveillé, il a regardé autour de lui, il les a tous vus, et il a dit: «Bien, n’ai-je pas encore traversé?» Il a dit: «Je–je rêvais ou quelque chose de ce genre, que j’étais arrivé à la porte. On m’a dit: ‘Maintenant, Sam, viens. J’aimerais que tu mettes ta robe et ta couronne.’» Il a dit: «Ne me parlez pas de robe et de couronne, a-
Apocalypse 1:0;45;"SKN 61-0515; SKN 65-1127B; SKN 54-0103M; SKN 56-0121; SKN 58-0927";Quel était le problème de cette femme? Pourquoi a-t-elle dit cela? Ecoutez, les amis, pour terminer, de cette façon–elle avait vu quelque chose de réel. Et toute personne honnête qui est dans son bon sens, et qui est honnête et sincère, désire voir quelque chose de réel. C’est ce que le monde cherche aujourd’hui. Ce n’est pas un tas de théologie, pas d’un homme qui peut... Jésus n’a jamais dit: «Eh bien, si Je n’accomplis pas l’enseignement de mon Père...» Il a dit: «Si Je ne fais pas les oeuvres de Mon Père, alors ne Me croyez pas. Mais si Je fais les oeuvres de Mon Père, alors croyez les oeu
Hebreux 10:0;43;"SKN 61-1015M; VGR 61-1015M; SKN 55-0312; SKN 60-0301; SKN 57-0908M";Vous rappelez-vous qu’à la venue du Seigneur... Vous rappelez-vous comment Il trouva ceux qui marchaient dans toute la Lumière dans laquelle ils devaient marcher? Vous rappelez-vous ce qui arriva? «N’est-il pas un homme bon, ce centurion romain, lui qui a bâti notre ville – ou plutôt une synagogue pour notre peuple, et il est (pour tout ce qu’il a fait) – il est digne de la bénédiction qu’on a demandée pour lui.» Voyez-vous, Dieu est le Père qui comprend. Il connaît votre coeur, il sait si vous voyez réellement la Lumière ou si vous ne voyez pas la Lumière. Il le sait. Bon, je crois sincèremen
Hebreux 4:12;43;"VGR 64-0719M; SKN 65-0822M; VGR 65-0822M; SKN 64-0617; VGR 64-0617";Et toutes les dénominations s’écartent de cette Parole pour former leurs credos. Je demande à n’importe qui de me prouver qu’elles prennent la Parole entière. Elles ne peuvent pas le faire, parce qu’elles sont sous le contrôle d’un système dirigé par des hommes. Où on a des hommes… Dieu n’a jamais traité qu’avec une seule personne à la fois. Même qu’Il n’a jamais eu deux prophètes en même temps. Un seul! Dieu, quand Il peut avoir un seul homme dans Sa main. Il ne traite pas avec vous…votre organisation, Il traite avec vous. Maintenant, en se fondant là-dessus, nous en arrivons à la fête des tr
Hebreux 6:0;43;"SKN 61-0723E; VGR 59-1219; VGR 61-0723E; SKN 61-0112; VGR 61-0112";"Alors, un jour, là-haut à Greens Mill, où j’étais allé dans ma caverne pour prier, ce n’était pas pour cela, j’en suis ressorti et j’ai posé ma Bible. Je... Cela sentait le renfermé au fond de la caverne, et j’avais besoin d’un peu de soleil; c’était l’après-midi; je suis sorti et j’ai posé ma Bible. J’allais lire un petit moment, assis sur ce tronc qui gît vers le bas de la colline. Et j’ai simplement posé ma Bible; j’ai commencé à lire. Et le vent a soufflé, et tourné les pages jusqu’à Hébreux, chapitre 6. Je me suis dit: «Peut-être que le Seigneur veut que je lise cela.» Je l’ai lu. «Nous q"
Marc 11:24;41;"SKN 53-0513; SKN 52-0900; SKN 56-0723; SKN 61-0117; SKN 57-0126B";Récemment, j’étais quelque part à Stewart Hamilton où il y avait quelques prédicateurs fondamentalistes très remarquables, qui n’aimeraient probablement pas que je cite leur nom ici devant cette assistance mixte. Et un de ces prédicateurs est venu vers moi, et il a dit: «Frère Branham, je vous apprécie en tant qu’homme.» Il a dit: «Mais votre doctrine de la guérison divine est toute fausse.» J’ai dit: «Eh bien, alors, la Bible entière est fausse.» Et il a dit: «Oh ! Vous ne pouvez pas... Prêchez-vous la guérison divine par la Bible, par l’expiation?» J’ai dit: «Oui, oui.» Il a dit: «Frère Bran
Joel 2:28;40;"SKN 65-0718M; SKN 59-1216; SKN 64-0614M; SKN 65-1127B; SKN 60-0515E";"Eh bien, regardons à la vision que nous avons aujourd'hui. Est-ce construire des églises? Est-ce de nouvelles choses? Est-ce que ce sont de grandes choses qui vont arriver, ou est-ce le jugement? Regardez en arrière et voyez la promesse pour aujourd'hui. Voyez la saison dans laquelle nous vivons. Vous dites: ""Eh bien, que Dieu soit béni, frère! Je suis sincère, je fréquente l'église. Je suis licencié en lettres. J'ai fait ceci..."" C'est en règle. C'est bien; je n'ai rien contre cela. David aussi avait cela; les sacrificateurs de ce jour-là l'avaient aussi; les théologiens de même; mais c'était"
